id_campaign,nama_campaign,platform,tanggal_mulai,tanggal_selesai,budget,reach,engagement,conversion,revenue_generated,roi
CMP001,Promo Tahun Baru - 01/2025,Google Ads,2025-01-01,2025-01-13,1850135,118408640,6181357,852018,368439847776,19914214.25
CMP002,Tutorial DIY - 01/2025,Google Ads,2025-01-18,2025-01-30,2430747,160429302,11589207,1199092,371544651660,15285204.58
CMP003,Video Viral - 02/2025,TikTok,2025-02-13,2025-02-18,648459,64845900,2793567,410262,101486510940,15650412.89
CMP004,Diskon Spesial - 02/2025,Facebook,2025-02-20,2025-03-06,1524798,228719700,12276857,1262202,224082507666,14695881.53
CMP005,Video Viral - 03/2025,Google Ads,2025-03-11,2025-03-18,2167180,147368240,7588448,1092935,428774794525,19784918.4
CMP006,Kolaborasi Influencer - 03/2025,Facebook,2025-03-16,2025-03-24,1208374,149838376,9778973,553335,119175078960,9862433.23
CMP007,Diskon Spesial - 04/2025,TikTok,2025-04-04,2025-04-10,876259,78863310,5291689,277407,78595228647,8969406.15
CMP008,Flash Sale Weekend - 04/2025,Facebook,2025-04-21,2025-05-03,1053851,158077650,10066919,540019,183127463147,17376978.64
CMP009,Behind The Scene - 05/2025,TikTok,2025-05-04,2025-05-13,551205,71105445,2244873,194506,91618939204,16621572.59
CMP010,Giveaway Contest - 05/2025,TikTok,2025-05-16,2025-05-23,775755,116363250,4896332,384327,142139113353,18322680.92
CMP011,Promo Tahun Baru - 06/2025,Facebook,2025-06-13,2025-06-26,1485682,203538434,14108906,1091457,326122985772,21951062.59
CMP012,Behind The Scene - 06/2025,TikTok,2025-06-16,2025-06-21,612383,58176385,4036033,482563,231850771291,37860419.26
CMP013,Promo Tahun Baru - 07/2025,Facebook,2025-07-04,2025-07-16,1408636,71840436,4116101,482970,177095922570,12572156.51
CMP014,Organic Content - 07/2025,Facebook,2025-07-21,2025-08-02,884394,94630158,4285716,589188,145104631452,16407238.34
CMP015,Behind The Scene - 08/2025,Instagram,2025-08-03,2025-08-14,932989,129685471,8360904,627320,255536920040,27389060.33
CMP016,Customer Testimonial - 08/2025,Google Ads,2025-08-27,2025-09-06,2232056,207581208,12957445,1497188,634647512884,28433314.97
CMP017,Video Viral - 09/2025,TikTok,2025-09-15,2025-09-28,881474,59058758,2912413,204787,34255745425,3886188.98
CMP018,Organic Content - 09/2025,Instagram,2025-09-19,2025-10-01,1356604,147869836,7030292,825115,136570559455,10067091.02
CMP019,Customer Testimonial - 10/2025,Instagram,2025-10-10,2025-10-18,1368132,132708804,4201304,628127,226894547448,16584258.5
CMP020,Giveaway Contest - 10/2025,TikTok,2025-10-21,2025-10-28,771662,101859384,7959776,823883,359886100411,46637789.66
CMP021,Customer Testimonial - 11/2024,Facebook,2024-01-04,2024-01-15,1250327,121281719,3711797,374131,183666893996,14689508.74
CMP022,Product Showcase - 11/2024,Facebook,2024-01-28,2024-02-07,1428404,94274664,6513470,903803,405903350118,28416564.93
CMP023,Customer Testimonial - 12/2024,Google Ads,2024-02-09,2024-02-18,1782129,210291222,14997902,1625526,764600290146,42903756.69
CMP024,Bundling Hemat - 12/2024,Facebook,2024-02-28,2024-03-07,873162,116130546,3636280,419132,73181704596,8381228.75
